sepal length (cm), sepal width (cm), petal length (cm), petal width (cm), target
5.100, 3.500, 1.400, 0.200, 0
4.900, 3.000, 1.400, 0.200, 0
4.700, 3.200, 1.300, 0.200, 0
4.600, 3.100, 1.500, 0.200, 0
5.000, 3.600, 1.400, 0.200, 0
5.400, 3.900, 1.700, 0.400, 0
4.600, 3.400, 1.400, 0.300, 0
5.000, 3.400, 1.500, 0.200, 0
4.400, 2.900, 1.400, 0.200, 0
4.900, 3.100, 1.500, 0.100, 0
5.400, 3.700, 1.500, 0.200, 0
4.800, 3.400, 1.600, 0.200, 0
4.800, 3.000, 1.400, 0.100, 0
4.300, 3.000, 1.100, 0.100, 0
5.800, 4.000, 1.200, 0.200, 0
5.700, 4.400, 1.500, 0.400, 0
5.400, 3.900, 1.300, 0.400, 0
5.100, 3.500, 1.400, 0.300, 0
5.700, 3.800, 1.700, 0.300, 0
5.100, 3.800, 1.500, 0.300, 0
5.400, 3.400, 1.700, 0.200, 0
5.100, 3.700, 1.500, 0.400, 0
4.600, 3.600, 1.000, 0.200, 0
5.100, 3.300, 1.700, 0.500, 0
4.800, 3.400, 1.900, 0.200, 0
5.000, 3.000, 1.600, 0.200, 0
5.000, 3.400, 1.600, 0.400, 0
5.200, 3.500, 1.500, 0.200, 0
5.200, 3.400, 1.400, 0.200, 0
4.700, 3.200, 1.600, 0.200, 0
4.800, 3.100, 1.600, 0.200, 0
5.400, 3.400, 1.500, 0.400, 0
5.200, 4.100, 1.500, 0.100, 0
5.500, 4.200, 1.400, 0.200, 0
4.900, 3.100, 1.500, 0.200, 0
5.000, 3.200, 1.200, 0.200, 0
5.500, 3.500, 1.300, 0.200, 0
4.900, 3.600, 1.400, 0.100, 0
4.400, 3.000, 1.300, 0.200, 0
5.100, 3.400, 1.500, 0.200, 0
5.000, 3.500, 1.300, 0.300, 0
4.500, 2.300, 1.300, 0.300, 0
4.400, 3.200, 1.300, 0.200, 0
5.000, 3.500, 1.600, 0.600, 0
5.100, 3.800, 1.900, 0.400, 0
4.800, 3.000, 1.400, 0.300, 0
5.100, 3.800, 1.600, 0.200, 0
4.600, 3.200, 1.400, 0.200, 0
5.300, 3.700, 1.500, 0.200, 0
5.000, 3.300, 1.400, 0.200, 0
